customerID,Churn,prediction,Churn_Probability,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MultipleLines,Partner,Dependents,gender,PhoneService,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,RetentionPriority
2273-QCKXA,No,0.0,0.2799,1,Month-to-month,49.05,49.05,DSL,Mailed check,No,No,Yes,No,No,No,No,No,No,Male,Yes,1,0,3,4,1.1197695070783142
0731-EBJQB,No,0.0,0.014,52,One year,20.4,1090.65,No,Electronic check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,Female,Yes,5,0,2,7,0.09828703069063938
0318-ZOPWS,No,0.0,0.0057,49,Two year,20.15,973.35,No,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,Female,Yes,5,0,2,7,0.03980498458816861
4808-YNLEU,No,0.0,0.089,35,One year,62.15,2215.45,DSL,Bank transfer (automatic),Yes,No,No,Yes,No,Yes,No,Yes,No,Female,Yes,5,2,4,11,0.9785609013732111
2424-WVHPL,No,1.0,0.5324,1,Month-to-month,74.7,74.7,Fiber optic,Electronic check,No,No,Yes,No,No,No,No,No,No,Male,Yes,1,0,4,5,2.6620374071202955
3212-KXOCR,No,0.0,0.0032,52,Two year,21.0,1107.2,No,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,Male,Yes,5,0,2,7,0.022332846525923933
6380-ARCEH,No,0.0,0.2146,1,Month-to-month,20.2,20.2,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,Male,Yes,1,0,2,3,0.6439142478040103
4412-YLTKF,Yes,1.0,0.5257,27,Month-to-month,78.05,2135.5,Fiber optic,Electronic check,No,No,No,No,No,Yes,Yes,No,No,Female,Yes,5,0,4,9,4.731014392755242
8587-XYZSF,No,0.0,0.0038,67,Two year,50.55,3260.1,DSL,Bank transfer (automatic),No,No,Yes,No,No,No,No,No,No,Male,Yes,5,0,3,8,0.030000367045147414
3091-FYHKI,Yes,1.0,0.7281,1,Month-to-month,35.45,35.45,DSL,Electronic check,No,No,No,No,Yes,Yes,No phone service,No,No,Male,No,1,1,2,4,2.9125612691690383
3774-VBNXY,No,0.0,0.0013,64,Two year,20.2,1277.75,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Female,Yes,5,0,2,7,0.009411314909109736
3146-MSEGF,No,0.0,0.0129,72,Two year,88.05,6425.65,DSL,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Female,Yes,5,4,5,14,0.1799373451522701
1095-WGNGG,No,0.0,0.111,61,Two year,101.05,5971.25,Fiber optic,Bank transfer (automatic),No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Female,Yes,5,3,5,13,1.4425570350725216
2636-SJDOU,No,0.0,0.0708,64,One year,84.3,5289.05,Fiber optic,Credit card (automatic),Yes,Yes,No,No,No,Yes,Yes,No,No,Male,Yes,5,2,5,12,0.8490313262662648
6440-DKQGE,No,0.0,0.073,30,One year,64.5,1929.95,DSL,Credit card (automatic),No,Yes,No,Yes,No,No,No,No,Yes,Male,Yes,5,2,4,11,0.8032694405585942
3780-YVMFA,No,0.0,0.4593,8,Month-to-month,68.55,564.35,DSL,Electronic check,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Female,Yes,3,2,4,9,4.133424584220949
3874-EQOEP,Yes,1.0,0.6435,7,Month-to-month,95.0,655.5,Fiber optic,Mailed check,No,No,No,Yes,Yes,No,Yes,No,No,Male,Yes,3,2,5,10,6.435374657179801
1679-JRFBR,No,0.0,0.1632,70,One year,108.15,7930.55,Fiber optic,Credit card (automatic),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Female,Yes,5,4,5,14,2.284340206762187
3077-RSNTJ,No,0.0,0.1608,6,Month-to-month,19.7,113.5,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Female,Yes,2,0,1,3,0.48238059944657774
6551-GNYDG,No,1.0,0.5633,14,Month-to-month,80.9,1152.8,Fiber optic,Bank transfer (automatic),No,No,No,No,Yes,Yes,No,Yes,Yes,Female,Yes,4,1,5,10,5.632671034397698
9167-APMXZ,No,1.0,0.5491,22,Month-to-month,84.15,1821.95,Fiber optic,Bank transfer (automatic),No,No,No,Yes,No,Yes,Yes,No,No,Female,Yes,4,1,5,10,5.491460067779785
7554-NEWDD,No,0.0,0.0465,10,Two year,25.7,251.6,No,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,Male,Yes,3,0,2,5,0.23266883342919709
8992-VONJD,No,0.0,0.2704,13,Month-to-month,56.0,764.55,DSL,Electronic check,Yes,Yes,No,No,No,Yes,No,No,Yes,Female,Yes,4,2,3,9,2.433557511063369
4648-YPBTM,No,0.0,0.0249,53,Two year,73.9,3958.25,DSL,Bank transfer (automatic),No,Yes,Yes,No,Yes,Yes,Yes,No,No,Male,Yes,5,2,4,11,0.27393805899613743
6345-FZOQH,No,0.0,0.0011,69,Two year,19.9,1363.45,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,Male,Yes,5,0,1,6,0.006789993412942952
5997-OPVFA,No,0.0,0.0149,72,Two year,89.05,6254.45,DSL,Bank transfer (automatic),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Male,Yes,5,4,5,14,0.20797956954563657
1159-WFSGR,No,0.0,0.1335,16,Month-to-month,20.4,321.4,No,Electronic check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Female,Yes,4,0,2,6,0.8010402391715985
1875-QIVME,Yes,1.0,0.7627,2,Month-to-month,104.4,242.8,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Female,Yes,1,2,5,8,6.101481804913352
3712-PKXZA,No,0.0,0.0063,61,One year,20.55,1252.0,No,Credit card (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,Male,Yes,5,0,2,7,0.044211423815567086
6317-YPKDH,Yes,1.0,0.5149,1,Month-to-month,29.95,29.95,DSL,Bank transfer (automatic),No,Yes,No,No,No,No,No phone service,No,No,Female,No,1,1,2,4,2.0594565635666067
0956-SYCWG,No,0.0,0.1023,13,One year,19.65,244.8,No,Electronic check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,Female,Yes,4,0,1,5,0.5115012621521087
7100-FQPRV,No,0.0,0.0573,43,One year,71.9,3173.35,DSL,Credit card (automatic),Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Male,Yes,5,2,4,11,0.6302587189872045
2472-OVKUP,Yes,1.0,0.703,6,Month-to-month,91.0,531.0,Fiber optic,Electronic check,No,Yes,No,No,Yes,Yes,No,Yes,No,Male,Yes,2,2,5,9,6.326729485999908
2984-RGEYA,No,0.0,0.0011,69,Two year,19.75,1375.4,No,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Female,Yes,5,0,1,6,0.006454859938944901
2604-IJPDU,No,0.0,0.4231,20,Month-to-month,96.55,1901.65,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Female,Yes,4,3,5,12,5.0774619426877905
9323-HGFWY,No,0.0,0.2497,27,One year,101.9,2681.15,Fiber optic,Credit card (automatic),Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Female,Yes,5,3,5,13,3.2458677191622023
7825-ECJRF,Yes,1.0,0.502,19,Month-to-month,106.6,1934.45,Fiber optic,Electronic check,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Female,Yes,4,3,5,12,6.024342064706389
0699-NDKJM,No,0.0,0.1222,57,Month-to-month,58.75,3437.45,DSL,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,Yes,No phone service,Yes,No,Female,No,5,4,3,12,1.4666718049671719
9286-BHDQG,No,0.0,0.0024,72,Two year,45.25,3139.8,DSL,Credit card (automatic),Yes,Yes,Yes,No,No,No,No phone service,Yes,Yes,Male,No,5,2,3,10,0.024450979496232206
6496-JDSSB,No,1.0,0.6071,8,Month-to-month,80.0,624.6,Fiber optic,Bank transfer (automatic),No,No,No,Yes,No,Yes,No,No,No,Female,Yes,3,1,4,8,4.856958784891887
9408-SSNVZ,Yes,1.0,0.6729,4,Month-to-month,70.15,268.35,Fiber optic,Electronic check,No,No,No,No,No,Yes,No,No,No,Female,Yes,2,0,4,6,4.037579502434248
4443-EMBNA,No,0.0,0.0017,71,Two year,24.75,1836.9,No,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,Female,Yes,5,0,2,7,0.01179977874386795
6469-MRVET,No,0.0,0.2169,1,One year,20.2,20.2,No,Electronic check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,Male,Yes,1,0,2,3,0.6505619877048208
4811-JBUVU,No,0.0,0.409,30,Month-to-month,89.9,2723.15,Fiber optic,Credit card (automatic),No,No,Yes,No,Yes,Yes,Yes,No,No,Male,Yes,5,1,5,11,4.498495197003599
0945-TSONX,No,0.0,0.0285,47,Two year,85.3,4107.25,DSL,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Female,Yes,5,4,5,14,0.3994085465785828
7083-MIOPC,No,0.0,0.001,72,Two year,20.25,1566.9,No,Credit card (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,Female,Yes,5,0,2,7,0.00668765698820728
9058-HRZSV,No,0.0,0.1739,65,Month-to-month,94.4,6126.15,Fiber optic,Electronic check,Yes,Yes,No,No,Yes,No,No,Yes,No,Female,Yes,5,3,5,13,2.2608582321758686
0221-WMXNQ,No,1.0,0.5027,4,Month-to-month,75.35,273.4,Fiber optic,Electronic check,Yes,No,No,No,No,No,No,No,No,Male,Yes,2,1,4,7,3.518944323133888
9947-OTFQU,Yes,1.0,0.5438,15,Month-to-month,74.4,1074.3,Fiber optic,Electronic check,No,Yes,No,No,No,Yes,No,No,No,Male,Yes,4,1,4,9,4.894317979538369
7017-VFHAY,No,0.0,0.0469,61,Two year,115.1,7008.15,Fiber optic,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Female,Yes,5,4,5,14,0.6571073228235087
6655-LHBYW,No,0.0,0.1488,50,One year,114.35,5791.1,Fiber optic,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Male,Yes,5,4,5,14,2.0827171861919127
3606-TWKGI,Yes,1.0,0.7353,13,Month-to-month,106.9,1364.3,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Male,Yes,4,3,5,12,8.823312362073338
6323-AYBRX,Yes,0.0,0.0019,59,Two year,19.35,1099.6,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,Male,Yes,5,0,1,6,0.011201847982686974
6366-ZGQGL,Yes,1.0,0.524,1,Month-to-month,24.8,24.8,DSL,Bank transfer (automatic),No,No,No,No,No,No,No phone service,No,No,Male,No,1,0,2,3,1.5721331825831013
3179-GBRWV,No,0.0,0.2428,21,Month-to-month,64.95,1339.8,DSL,Bank transfer (automatic),Yes,Yes,No,No,Yes,Yes,No,Yes,No,Male,Yes,4,3,4,11,2.6711892927165097
9512-UIBFX,Yes,0.0,0.4773,18,Month-to-month,95.15,1779.95,Fiber optic,Mailed check,No,No,No,Yes,Yes,No,No,Yes,Yes,Male,Yes,4,2,5,11,5.250274219131491
6202-DYYFX,No,0.0,0.3452,22,One year,76.0,1783.6,Fiber optic,Credit card (automatic),No,No,No,No,No,Yes,Yes,No,No,Female,Yes,4,0,4,8,2.7614257342052984
3808-HFKDE,No,0.0,0.3131,20,Month-to-month,44.35,927.15,DSL,Electronic check,No,No,No,No,No,Yes,No,No,No,Female,Yes,4,0,3,7,2.1916339983164375
3727-OWVYD,No,0.0,0.0405,35,One year,61.2,2021.2,DSL,Mailed check,Yes,Yes,No,No,No,No,No,No,No,Male,Yes,5,2,4,11,0.44554479127364177
4847-TAJYI,No,1.0,0.7548,6,Month-to-month,89.35,567.8,Fiber optic,Electronic check,No,No,No,Yes,Yes,Yes,No,No,No,Female,Yes,2,2,5,9,6.792997487833816
8266-VBFQL,No,1.0,0.6404,4,Month-to-month,90.4,356.65,Fiber optic,Electronic check,No,No,Yes,No,Yes,Yes,No,No,No,Male,Yes,2,1,5,8,5.123109253751906
4115-BNPJY,No,0.0,0.0358,29,Two year,75.55,2054.4,DSL,Mailed check,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Male,Yes,5,2,4,11,0.3935084638955014
7277-OZCGZ,No,0.0,0.4241,22,Month-to-month,89.05,1886.25,Fiber optic,Electronic check,Yes,No,Yes,No,Yes,Yes,No,No,No,Female,Yes,4,2,5,11,4.66508430903028
2799-ARNLO,No,1.0,0.6807,5,Month-to-month,69.35,341.6,Fiber optic,Electronic check,No,No,No,No,No,Yes,No,Yes,No,Female,Yes,2,0,4,6,4.083980832516806
2321-OMBXY,Yes,0.0,0.0501,38,One year,80.3,3058.65,DSL,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Female,Yes,5,4,5,14,0.7018135204190756
2840-XANRC,Yes,1.0,0.6344,24,Month-to-month,93.15,2231.05,Fiber optic,Electronic check,No,No,No,Yes,Yes,Yes,No,Yes,No,Male,Yes,4,2,5,11,6.978123921100807
6745-JEFZB,No,0.0,0.3623,35,Month-to-month,91.5,3236.35,Fiber optic,Credit card (automatic),No,No,Yes,Yes,No,Yes,Yes,Yes,No,Male,Yes,5,1,5,11,3.9851829816989355
8705-WZCYL,No,1.0,0.5261,1,Month-to-month,44.8,44.8,DSL,Electronic check,No,No,No,No,No,Yes,No,No,No,Male,Yes,1,0,3,4,2.1042796752938613
9498-FIMXL,No,0.0,0.127,8,One year,19.2,161.95,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,Female,Yes,3,0,1,4,0.5078497952357224
0122-OAHPZ,Yes,1.0,0.7017,7,Month-to-month,73.85,511.25,Fiber optic,Electronic check,No,No,No,No,No,Yes,Yes,No,No,Female,Yes,3,0,4,7,4.9118837133186775
2868-SNELZ,Yes,1.0,0.5778,2,Month-to-month,80.6,155.8,Fiber optic,Mailed check,No,No,No,No,No,No,Yes,No,No,Female,Yes,1,0,5,6,3.466875119273859
7520-HQWJU,No,0.0,0.0411,66,Month-to-month,67.45,4508.65,DSL,Bank transfer (automatic),Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Female,Yes,5,2,4,11,0.45195456130385503
2034-GDRCN,Yes,1.0,0.7744,2,Month-to-month,90.4,168.2,Fiber optic,Electronic check,No,No,No,Yes,Yes,Yes,No,No,No,Female,Yes,1,2,5,8,6.19538664007923
6243-OZGFH,No,1.0,0.518,23,Month-to-month,44.95,996.85,DSL,Electronic check,No,No,No,Yes,Yes,Yes,No phone service,No,No,Female,No,4,2,3,9,4.662342368145749
6563-VRERX,No,0.0,0.0205,33,One year,20.6,690.25,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Male,Yes,5,0,2,7,0.1437593457319173
2805-EDJPQ,No,0.0,0.1474,56,One year,99.75,5608.4,Fiber optic,Credit card (automatic),No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Female,Yes,5,2,5,12,1.768431402487654
6158-HDPXZ,No,1.0,0.5054,1,Month-to-month,25.35,25.35,DSL,Mailed check,No,No,No,No,No,No,No phone service,No,No,Male,No,1,0,2,3,1.5160500829094201
4895-TMWIR,Yes,0.0,0.1393,11,Month-to-month,19.95,214.75,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,Male,Yes,3,0,1,4,0.5570248338236272
1708-PBBOA,No,0.0,0.0957,42,One year,54.75,2348.45,DSL,Electronic check,Yes,Yes,Yes,No,Yes,Yes,No phone service,No,No,Female,No,5,3,3,11,1.053138254269314
5522-JBWMO,No,0.0,0.4069,1,Month-to-month,44.0,44.0,DSL,Electronic check,No,No,No,No,No,No,No,No,Yes,Male,Yes,1,0,3,4,1.6274575963211868
3951-NJCVI,No,1.0,0.5779,42,Month-to-month,95.05,3944.5,Fiber optic,Electronic check,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Female,Yes,5,2,5,12,6.934384381912706
5876-QMYLD,No,0.0,0.0371,23,One year,20.05,415.1,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Female,Yes,4,0,2,6,0.22282448273979294
0979-PHULV,Yes,0.0,0.277,69,Month-to-month,99.45,7007.6,Fiber optic,Credit card (automatic),No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Male,Yes,5,2,5,12,3.3234393771672446
4742-DRORA,No,0.0,0.1262,60,One year,95.4,5812.0,Fiber optic,Bank transfer (automatic),Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Male,Yes,5,2,5,12,1.5147378711775663
4800-VHZKI,Yes,0.0,0.281,1,Month-to-month,19.9,19.9,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,Female,Yes,1,0,1,2,0.5620029645448517
7989-CHGTL,Yes,0.0,0.2728,1,Month-to-month,19.6,19.6,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,Male,Yes,1,0,1,2,0.5456680410843828
1996-DBMUS,No,0.0,0.2311,48,Month-to-month,70.65,3545.05,Fiber optic,Bank transfer (automatic),No,No,No,No,No,Yes,No,Yes,No,Female,Yes,5,0,4,9,2.079972859124948
5249-QYHEX,No,0.0,0.0105,40,Two year,24.8,1024.7,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,Female,Yes,5,0,2,7,0.07346122743456673
2233-FAGXV,No,0.0,0.2638,5,Month-to-month,24.3,132.25,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,Female,Yes,2,0,2,4,1.0550294939142693
8111-BKVDS,No,0.0,0.3138,10,Month-to-month,40.7,449.3,DSL,Bank transfer (automatic),Yes,Yes,No,No,No,No,No phone service,No,No,Female,No,3,2,3,8,2.5100185069752365
2957-LOLHO,Yes,0.0,0.3193,12,Month-to-month,45.4,518.9,DSL,Bank transfer (automatic),No,No,No,No,No,Yes,No,No,No,Male,Yes,3,0,3,6,1.9155051968530274
6048-NJXHX,No,0.0,0.0122,41,Two year,19.75,899.45,No,Electronic check,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,Male,Yes,5,0,1,6,0.07332497616329281
2320-SLKMB,No,0.0,0.2455,26,Month-to-month,44.45,1183.8,DSL,Credit card (automatic),No,No,Yes,Yes,No,Yes,No phone service,No,No,Female,No,5,1,3,9,2.209580409446123
5886-VLQVU,No,0.0,0.4074,35,Month-to-month,89.85,3161.2,Fiber optic,Bank transfer (automatic),No,No,Yes,No,Yes,Yes,Yes,Yes,No,Male,Yes,5,1,5,11,4.48092450848973
3577-AMVUX,No,0.0,0.2712,1,Month-to-month,55.05,55.05,DSL,Mailed check,No,No,Yes,No,No,No,No,No,No,Male,Yes,1,0,3,4,1.0848862676081517
0206-TBWLC,No,0.0,0.1868,54,One year,114.65,6049.5,Fiber optic,Mailed check,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Female,Yes,5,4,5,14,2.6153316961861988
1910-FMXJM,No,0.0,0.4084,36,Month-to-month,80.4,2937.65,Fiber optic,Electronic check,No,No,No,No,Yes,No,No,Yes,No,Female,Yes,5,1,5,11,4.492059452900627
7752-XUSCI,Yes,0.0,0.4642,60,Month-to-month,105.9,6396.45,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Female,Yes,5,3,5,13,6.034412303350964
8592-PLTMQ,No,0.0,0.0055,64,One year,24.7,1642.75,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,Female,Yes,5,0,2,7,0.03858484120882599
5760-WRAHC,No,0.0,0.1751,22,Month-to-month,69.75,1545.4,DSL,Mailed check,Yes,No,Yes,No,Yes,Yes,No,No,No,Female,Yes,4,2,4,10,1.7511517005413524
8847-GEOOQ,No,0.0,0.1021,60,Month-to-month,60.2,3582.4,DSL,Bank transfer (automatic),No,Yes,Yes,Yes,Yes,Yes,No phone service,Yes,No,Male,No,5,3,4,12,1.2246118089291436
4237-CLSMM,No,0.0,0.2165,2,Month-to-month,20.0,38.0,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,Male,Yes,1,0,1,2,0.43303216129018596
1452-VOQCH,No,1.0,0.7392,1,Month-to-month,75.1,75.1,Fiber optic,Electronic check,No,No,No,No,No,Yes,Yes,No,No,Male,Yes,1,0,4,5,3.695813413442746
4719-UMSIY,No,0.0,0.1456,6,Month-to-month,19.65,100.9,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,Male,Yes,2,0,1,3,0.4368356609523173
0880-TKATG,Yes,1.0,0.7145,4,Month-to-month,101.15,385.9,Fiber optic,Electronic check,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Male,Yes,2,2,5,9,6.430254055480505
3583-EKAPL,Yes,1.0,0.5932,1,Month-to-month,55.0,55.0,DSL,Electronic check,No,No,No,No,Yes,Yes,No,No,No,Male,Yes,1,1,3,5,2.966222685001366
1304-BCCFO,No,0.0,0.4595,9,Month-to-month,70.05,564.4,DSL,Mailed check,No,No,No,Yes,Yes,Yes,No,Yes,No,Male,Yes,3,2,4,9,4.135426712173606
4104-PVRPS,No,0.0,0.0926,24,Month-to-month,53.6,1315.35,DSL,Mailed check,Yes,No,Yes,No,No,No,No,Yes,No,Male,Yes,4,1,3,8,0.7409587511872822
9399-APLBT,Yes,1.0,0.6615,1,Month-to-month,74.7,74.7,Fiber optic,Electronic check,No,Yes,No,No,No,Yes,No,Yes,Yes,Female,Yes,1,1,4,6,3.968820548941455
2359-KMGLI,Yes,1.0,0.5267,24,Month-to-month,80.25,1861.5,Fiber optic,Electronic check,No,Yes,No,No,No,Yes,Yes,No,No,Male,Yes,4,1,5,10,5.266818772761392
0486-LGCCH,No,0.0,0.0293,11,Two year,19.65,225.75,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Male,Yes,3,0,1,4,0.1172601277964227
7971-HLVXI,No,0.0,0.0423,72,Two year,84.5,6130.85,Fiber optic,Credit card (automatic),No,No,No,No,Yes,Yes,Yes,Yes,Yes,Male,Yes,5,1,5,11,0.4655040032559944
9094-AZPHK,No,1.0,0.7308,15,Month-to-month,100.15,1415.0,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Female,Yes,4,3,5,12,8.76943088610753
8372-JUXUI,Yes,1.0,0.7057,1,Month-to-month,74.35,74.35,Fiber optic,Electronic check,No,No,No,No,No,Yes,Yes,No,Yes,Male,Yes,1,0,4,5,3.5282591394605314
